"show_id","type","title","director","cast","country","date_added","release_year","rating","duration_num","duration_unit","listed_in","description","year_added","month_added"
"s116","Movie","Bright Star","Jane Campion","Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France",2021-09-02,2009,"PG",119,"min","Dramas, Romantic Movies","This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.",2021,"Sep"
"s117","Movie","Dhanak","Nagesh Kukunoor","Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat","India",2021-09-02,2015,"TV-PG",114,"min","Comedies, Dramas, Independent Movies","A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.",2021,"Sep"
"s119","Movie","Gurgaon","Shanker Raman","Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma","India",2021-09-02,2017,"TV-14",106,"min","Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",2021,"Sep"
"s123","Movie","In the Cut","Jane Campion","Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States",2021-09-02,2003,"R",118,"min","Thrillers","After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",2021,"Sep"
"s127","Movie","Shikara","Vidhu Vinod Chopra","Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai","India",2021-09-02,2020,"TV-14",115,"min","Dramas, International Movies, Romantic Movies","A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.",2021,"Sep"
"s128","Movie","A Cinderella Story","Mark Rosman","Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01,2004,"PG",95,"min","Children & Family Movies, Comedies","Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?",2021,"Sep"
"s130","Movie","An Unfinished Life","Lasse Hallström","Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",2021-09-01,2005,"PG-13",108,"min","Dramas","A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",2021,"Sep"
"s132","Movie","Blade Runner: The Final Cut","Ridley Scott","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull","United States",2021-09-01,1982,"R",117,"min","Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",2021,"Sep"
"s134","Movie","Chappie","Neill Blomkamp","Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2021-09-01,2015,"R",121,"min","Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",2021,"Sep"
"s135","Movie","Clear and Present Danger","Phillip Noyce","Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",2021-09-01,1994,"PG-13",142,"min","Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",2021,"Sep"
